VCEL,2027
USLM,2024
SNDR,2022
FFBC,2020
PLUG,2020
B,2019
PLUS,2011
FBC,2002
SMTC,1988
AMPH,1982
INDB,1976
NVAX,1973
STAA,1969
GSAT,1957
NSSC,1952
RAMP,1950
EPC,1946
FOXF,1943
GTX,1928
ADUS,1927
UFPT,1925
SBCF,1925
RCKT,1925
HTH,1917
SXI,1916
TALO,1909
PTGX,1904
PINC,1897
JBLU,1891
SCL,1891
THS,1891
KMT,1881
TTMI,1881
SONO,1866
HWKN,1862
OI,1852
DAN,1851
MNRL,1847
FRME,1845
FOE,1843
TNC,1843
BKE,1840
HTLF,1837
LMAT,1827
BLBD,1805
AKR,1793
MNR,1787
GEO,1786
IBTX,1782
CPRX,1772
AGM,1772
HBI,1768
TBBK,1767
VSAT,1765
TRMK,1762
PLAY,1759
KAR,1758
DRH,1746
HURN,1742
XRX,1726
OFG,1717
FBK,1715
TDOC,1715
MBIN,1712
ARVN,1707
GWB,1705
NBTB,1701
STC,1700
RFP,1700
BLMN,1698
FIT,1697
CNXN,1691
PEB,1691
SNDX,1690
ENVA,1688
DFIN,1688
NWLI,1684
VGR,1683
SJW,1682
LPG,1677
NEO,1673
WMK,1671
VIAV,1670
MRCY,1669
TEN,1669
EXPI,1665
ANDE,1663
GNL,1656
WGO,1649
MGPI,1646
VCYT,1634
RNST,1627
THRM,1622
NGVT,1618
NHC,1616
FOR,1615
LILA,1613
LILAK,1613
BANR,1612
APTS,1611
PZZA,1609
EXTR,1605
HLIO,1600
OXM,1596
NAVI,1596
KN,1596
MDRX,1595
PLAB,1593
HEES,1591
HLX,1590
PAR,1581
WSBC,1579
KURA,1576
OSW,1575
ROIC,1568
CTS,1566
GBX,1563
CHEF,1561
LEG,1560
DO,1552
WDR,1549
KRO,1546
LKFN,1546
DK,1537
DBD,1536
VRTS,1536
MXL,1533
NMRK,1530
ESRT,1517
CHCO,1516
RLJ,1501
BGCP,1499
KRA,1498
LOB,1497
COHU,1489
FFG,1487
DVAX,1484
CLBK,1482
RCUS,1473
NVEE,1472
GSHD,1470
ATEC,1466
LTC,1464
ARDX,1464
XHR,1462
LZB,1454
LGND,1452
USPH,1451
BHE,1448
EVBG,1446
AMC,1445
ARI,1444
PARR,1441
GTY,1440
CUBI,1439
RC,1434
CENX,1433
EFSC,1431
SUPN,1429
LADR,1427
MRTN,1425
ODP,1425
SLNO,1420
SSTK,1419
KALU,1418
REVG,1417
DNOW,1411
SYBT,1409
NWBI,1385
NBHC,1384
APOG,1373
UPWK,1371
TOWN,1365
USD,1362
TWO,1361
JBGS,1357
CASH,1357
HMN,1354
ACMR,1350
NWN,1348
KW,1335
FCF,1334
ZUO,1328
VSEC,1320
CARS,1316
SAFE,1315
PDFS,1314
RES,1312
AAT,1312
BCOR,1309
BV,1303
KAMN,1303
OMI,1299
PRO,1298
ANIP,1297
MNKD,1294
LNN,1292
BCRX,1288
AMWD,1285
CXW,1285
HLIT,1285
MCRI,1283
OMCL,1282
NTCT,1278
BKD,1276
BUSE,1275
PCRX,1273
WABC,1263
DEA,1261
FBNC,1261
ARLO,1259
SAH,1258
WINA,1245
INFN,1244
EEX,1243
ICHR,1241
TCBK,1236
SRCE,1235
GIII,1231
KNL,1227
HOPE,1222
CCF,1214
MMI,1211
PMT,1205
XNCR,1204
SLCA,1202
ALEX,1194
CAL,1193
SGH,1193
CRAI,1191
CSGS,1191
STBA,1189
TR,1189
JELD,1184
KFRC,1182
GOGO,1181
MODN,1180
SCS,1173
AIV,1162
UVV,1153
GES,1143
CIR,1142
WKHS,1126
SAFT,1125
MFA,1123
VICR,1123
AMRC,1121
PLYA,1121
LDL,1120
HLF,1119
TRNS,1115
RPT,1112
TPC,1109
JAGX,1109
TRUP,1109
APPN,1107
TGI,1101
SCSC,1097
PRTA,1095
CNNE,1091
UMH,1088
VBTX,1087
ALX,1078
SBH,1078
HE,1063
ARGO,1056
EIG,1052
ULH,1050
MRC,1049
AGX,1046
TRS,1044
WTTR,1043
FDP,1043
COLL,1041
HIBB,1041
EYE,1036
EFC,1035
JACK,1029
OSTK,1028
PFS,1027
PEBO,1022
WWW,1019
LQDA,1018
SASR,1017
HY,1017
CMCO,1015
IMKTA,1011
INVA,1009
SABR,1008
ATEN,1006
BY,1004
HTZ,1003
SCVL,1003
PGRE,1002
CBRL,998
NCBS,995
ALGT,991
QEP,990
ATUS,989
PFBC,989
THR,988
HCI,984
SBOW,978
ECPG,975
NX,973
CAI,972
FSLY,967
GABC,965
SCHL,960
GPRE,960
GRC,959
DLX,959
WNC,958
SAVA,954
PLYM,947
NXRT,946
ATRC,945
ARR,943
QCRH,940
SLP,940
CHS,937
SBR,934
BLFS,933
CPLG,933
AMSC,926
HTLD,926
LC,921
BHLB,919
BZH,909
MSEX,907
OBNK,906
IRWD,906
PDM,894
PUMP,894
TTGT,887
PBI,885
BBSI,883
RWT,881
SHEN,880
GDEN,880
BFS,877
JBSS,877
AOSL,876
BELFA,876
BELFB,876
RBCAA,875
OPK,871
USNA,871
AVNS,869
GNK,867
TILE,867
USAT,864
QNST,862
NPTN,860
IDT,859
OCFC,858
CLB,857
GTS,856
BXC,856
SILK,855
CLW,853
OCUL,852
CKH,851
DCO,846
HSTM,842
IHC,841
CECO,836
KOP,835
CWH,833
UBA,832
FBM,831
AXL,830
ATSG,820
AMSF,817
HOV,817
DGII,816
UNFI,812
BRG,811
UTL,811
BJRI,808
REX,799
SXC,797
ATRI,795
TH,794
RRD,790
CBB,788
VRS,787
TRCH,786
SBSI,784
BDN,779
PRAA,771
PRLB,767
DX,767
HCSG,762
AMAL,757
MATW,755
KELYA,754
HZO,753
FBMS,753
PFLT,752
ERII,747
KNSA,747
CTBI,747
UTI,746
AMRK,745
RGR,744
SINT,744
DXPE,743
MBUU,742
SNR,741
HAYN,740
BRKL,740
AHH,738
BOMN,735
WVE,734
HNGR,732
VVI,732
FMBH,731
RDFN,723
DCOM,713
MNRO,712
WRLD,709
CFFN,709
RYI,706
CDNA,705
KIDS,701
SRRK,700
CBL,698
ASTE,695
EGLE,693
HPP,686
EOLS,681
CNOB,679
HSII,679
SAGE,678
IMXI,676
CCO,674
EVRI,674
WSR,674
ECOM,668
HA,666
MLR,665
NR,663
STAR,663
NBR,661
TRTX,660
BGS,659
PLPC,656
PLSE,654
PETQ,651
CHCT,651
MCF,648
TMP,647
GCI,646
KREF,646
SPTN,642
UNIT,641
PRA,640
YEXT,640
LEU,639
ANAB,639
BRMK,635
HAIN,633
MD,631
INN,631
FRC,631
CMO,630
EGY,628
HROW,626
FCBC,625
UVSP,625
OSBC,622
LXRX,622
IIIN,621
ASIX,620
CNDT,620
VREX,619
MSGN,616
GSBC,613
DRQ,610
OSG,609
HCKT,608
NUS,607
SMP,607
TIPT,605
GRPN,604
NRC,603
SRDX,598
GMRE,596
MBWM,592
HFWA,590
GLDD,589
LXU,585
TRXC,583
BH,580
LQDT,579
DIN,575
CLNE,574
RILY,573
RGNX,573
OFLX,572
LASR,571
ATEX,570
MERC,570
FWRD,568
AMBC,564
FPI,564
LEGH,563
CLFD,563
EBF,563
TPB,563
GOOD,560
FRPH,559
CASS,559
DMRC,556
TREE,555
NYMT,552
KE,551
MYE,549
CPF,548
FNKO,547
IRMD,545
ESPR,544
UVE,541
EVER,540
UFCS,539
QTRX,538
NP,537
SVRA,535
PLOW,533
EZPW,531
ATRO,530
UHT,526
TWI,526
TELL,526
NPK,522
CNCE,521
HBNC,519
RBBN,518
YORW,518
YMAB,516
SIBN,515
TRST,515
ZEUS,515
GAIN,514
BFST,513
PBT,513
GTN,513
MITK,512
CTT,511
CATC,511
GCBC,511
ACTG,510
DJCO,509
TWOU,509
NBN,508
CNSL,508
EGBN,508
CCRN,508
EQBK,506
DAKT,505
IBCP,504
OLP,501
KALV,499
GLAD,499
SBGI,497
MLAB,494
OSPN,493
AAC,492
HTBI,490
SD,488
SMRT,486
CYH,486
HRTX,486
LAND,485
HTBK,485
GDOT,483
BDGE,483
CYRX,482
ALLO,481
MUX,480
REPL,480
KODK,476
CDMO,475
NGVC,475
OPY,475
BRY,475
DDD,474
CRBP,472
MCBC,472
OFIX,472
CEVA,471
SPWR,470
PVAC,470
EYPT,469
SIGA,469
IIIV,468
HAFC,466
SMBC,466
MSBI,465
HONE,463
CMP,463
CCBG,461
CAC,461
GLRE,461
IVR,457
FMNB,457
FC,456
CELC,456
LE,455
AGS,455
PACB,455
ACCO,454
CHUY,454
ORC,451
VYGR,449
TRC,449
NCMI,447
CVGW,446
SRI,441
ALEC,440
HVT,438
WASH,437
MCB,436
INOD,435
EE,432
XONE,432
BNED,430
LYTS,428
RDUS,426
WOW,426
NTGR,426
DGICA,423
BYND,421
THFF,420
ALT,420
TTI,418
CSV,418
EDIT,417
RICK,416
HDSN,414
HRZN,413
AROW,413
